Login_page,Class,Status,DOD,Last_update_date
331063,Business,complete,7/21/2015 12:00:00 AM,
294869,Economy/Coach,complete,7/21/2015 12:00:00 AM,
312995,Economy/Coach,complete,7/21/2015 12:00:00 AM,
314866,Economy/Coach,complete,7/22/2015 12:00:00 AM,
196441,Economy/Coach,complete,7/22/2015 12:00:00 AM,
311854,Economy/Coach,complete,7/22/2015 12:00:00 AM,
196103,Economy/Coach,complete,7/22/2015 12:00:00 AM,
474984,Economy/Coach,complete,7/22/2015 12:00:00 AM,
361849,Economy/Coach,complete,7/22/2015 12:00:00 AM,
473201,Business,complete,7/22/2015 12:00:00 AM,
308410,Economy/Coach,complete,7/22/2015 12:00:00 AM,
294864,Economy/Coach,complete,7/22/2015 12:00:00 AM,
473042,Economy/Coach,complete,7/22/2015 12:00:00 AM,
467981,Business,complete,7/22/2015 12:00:00 AM,
330923,Business,complete,7/22/2015 12:00:00 AM,
467884,Economy/Coach,complete,7/22/2015 12:00:00 AM,
641325,Economy/Coach,complete,7/22/2015 12:00:00 AM,
505650,Economy/Coach,complete,7/22/2015 12:00:00 AM,
473012,Economy/Coach,complete,7/22/2015 12:00:00 AM,
311835,Economy/Coach,complete,7/22/2015 12:00:00 AM,
531809,Economy/Coach,complete,7/22/2015 12:00:00 AM,
326039,Economy/Coach,complete,7/22/2015 12:00:00 AM,
196082,Economy/Coach,complete,7/22/2015 12:00:00 AM,
330465,Economy/Coach,complete,7/22/2015 12:00:00 AM,
535576,Economy/Coach,complete,7/22/2015 12:00:00 AM,
535597,Economy/Coach,complete,7/22/2015 12:00:00 AM,
535627,Economy/Coach,complete,7/23/2015 12:00:00 AM,
330949,Economy/Coach,complete,7/23/2015 12:00:00 AM,
473408,Business,complete,7/23/2015 12:00:00 AM,
535531,Economy/Coach,complete,7/23/2015 12:00:00 AM,
474933,Economy/Coach,complete,7/23/2015 12:00:00 AM,
196065,Economy/Coach,complete,7/23/2015 12:00:00 AM,
473493,Business,complete,7/23/2015 12:00:00 AM,
196017,Economy/Coach,complete,7/23/2015 12:00:00 AM,
535593,Economy/Coach,complete,7/23/2015 12:00:00 AM,
330941,Economy/Coach,complete,7/23/2015 12:00:00 AM,
531805,Economy/Coach,complete,7/23/2015 12:00:00 AM,
635479,Business,complete,7/23/2015 12:00:00 AM,
294825,Economy/Coach,complete,7/23/2015 12:00:00 AM,
505678,Economy/Coach,complete,7/23/2015 12:00:00 AM,
535555,Economy/Coach,complete,7/23/2015 12:00:00 AM,
360492,Business,complete,7/23/2015 12:00:00 AM,
196432,Economy/Coach,complete,7/23/2015 12:00:00 AM,
473446,Economy/Coach,complete,7/23/2015 12:00:00 AM,
635425,Economy/Coach,complete,7/23/2015 12:00:00 AM,
505671,Economy/Coach,complete,7/24/2015 12:00:00 AM,
535717,Economy/Coach,complete,7/24/2015 12:00:00 AM,
196383,Economy/Coach,complete,7/24/2015 12:00:00 AM,
330970,Economy/Coach,complete,7/24/2015 12:00:00 AM,
535721,Economy/Coach,complete,7/24/2015 12:00:00 AM,
473316,Economy/Coach,complete,7/24/2015 12:00:00 AM,
196438,Economy/Coach,complete,7/24/2015 12:00:00 AM,
393126,Economy/Coach,complete,7/24/2015 12:00:00 AM,
535741,Economy/Coach,complete,7/24/2015 12:00:00 AM,
639304,Economy/Coach,complete,7/24/2015 12:00:00 AM,
535619,Economy/Coach,complete,7/24/2015 12:00:00 AM,
273777,Economy/Coach,complete,7/24/2015 12:00:00 AM,
473361,Economy/Coach,complete,7/24/2015 12:00:00 AM,
535731,Economy/Coach,complete,7/24/2015 12:00:00 AM,
638506,Economy/Coach,complete,7/24/2015 12:00:00 AM,
531814,Business,complete,7/24/2015 12:00:00 AM,
639337,Economy/Coach,complete,7/24/2015 12:00:00 AM,
196271,Economy/Coach,complete,7/24/2015 12:00:00 AM,
473225,Economy/Coach,complete,7/24/2015 12:00:00 AM,
535744,Economy/Coach,complete,7/24/2015 12:00:00 AM,
473478,Economy/Coach,complete,7/24/2015 12:00:00 AM,
635468,Economy/Coach,complete,7/24/2015 12:00:00 AM,
638538,Economy/Coach,complete,7/24/2015 12:00:00 AM,
294914,Economy/Coach,complete,7/24/2015 12:00:00 AM,
