Login_page,Class,Status,DOD,Last_update_date
3581738,Business,complete,7/14/2016 12:00:00 AM,
4010374,Business,complete,7/14/2016 12:00:00 AM,
3928104,Economy,complete,7/14/2016 12:00:00 AM,
4032771,Economy,complete,7/14/2016 12:00:00 AM,
3991119,Economy,complete,7/14/2016 12:00:00 AM,
2121528,Premium Economy,complete,7/14/2016 12:00:00 AM,
3999679,Business,complete,7/14/2016 12:00:00 AM,
3389017,Economy,complete,7/14/2016 12:00:00 AM,
2691715,Economy,complete,7/14/2016 12:00:00 AM,
3389327,Business,complete,7/14/2016 12:00:00 AM,
3676630,Economy,complete,7/14/2016 12:00:00 AM,
4057929,Premium Economy,complete,7/14/2016 12:00:00 AM,
3716144,Economy,complete,7/14/2016 12:00:00 AM,
3798249,Premium Economy,complete,7/14/2016 12:00:00 AM,
3999052,Economy,complete,7/14/2016 12:00:00 AM,
4057930,Premium Economy,complete,7/14/2016 12:00:00 AM,
3943898,Economy,complete,7/14/2016 12:00:00 AM,
3926376,Economy,complete,7/14/2016 12:00:00 AM,
3944692,Economy,complete,7/14/2016 12:00:00 AM,
3987682,Economy,complete,7/14/2016 12:00:00 AM,
3903860,Economy,complete,7/14/2016 12:00:00 AM,
3236373,Economy,complete,7/14/2016 12:00:00 AM,
2122488,Economy,complete,7/14/2016 12:00:00 AM,
3798248,Premium Economy,complete,7/14/2016 12:00:00 AM,
2691712,Business,complete,7/14/2016 12:00:00 AM,
3526046,Premium Economy,complete,7/14/2016 12:00:00 AM,
4014243,Economy,complete,7/14/2016 12:00:00 AM,
3993662,Business,complete,7/14/2016 12:00:00 AM,
3950393,Premium Economy,complete,7/14/2016 12:00:00 AM,
3880797,Economy,complete,7/14/2016 12:00:00 AM,
4026560,Economy,complete,7/14/2016 12:00:00 AM,
4018082,Premium Economy,complete,7/14/2016 12:00:00 AM,
3587577,Business,complete,7/14/2016 12:00:00 AM,
4009847,Business,complete,7/14/2016 12:00:00 AM,
3389678,Economy,complete,7/14/2016 12:00:00 AM,
3719779,Economy,complete,7/14/2016 12:00:00 AM,
3581737,Economy,complete,7/14/2016 12:00:00 AM,
3880951,Economy,complete,7/14/2016 12:00:00 AM,
3880949,Economy,complete,7/14/2016 12:00:00 AM,
3901483,Premium Economy,complete,7/14/2016 12:00:00 AM,
4014308,Economy,complete,7/14/2016 12:00:00 AM,
3945509,Economy,complete,7/14/2016 12:00:00 AM,
3991660,Premium Economy,complete,7/14/2016 12:00:00 AM,
3995132,Premium Economy,complete,7/14/2016 12:00:00 AM,
3389646,Economy,complete,7/14/2016 12:00:00 AM,
3993440,Economy,complete,7/14/2016 12:00:00 AM,
3638973,Economy,complete,7/14/2016 12:00:00 AM,
3945640,Premium Economy,complete,7/14/2016 12:00:00 AM,
3666537,Economy,complete,7/14/2016 12:00:00 AM,
3944853,Premium Economy,complete,7/14/2016 12:00:00 AM,
3993500,Economy,complete,7/15/2016 12:00:00 AM,
3993174,Economy,complete,7/15/2016 12:00:00 AM,
3991670,Business,complete,7/15/2016 12:00:00 AM,
3802245,Economy,complete,7/15/2016 12:00:00 AM,
3526009,Premium Economy,complete,7/15/2016 12:00:00 AM,
4016322,Business,complete,7/15/2016 12:00:00 AM,
4086505,Economy,complete,7/15/2016 12:00:00 AM,
3526172,Premium Economy,complete,7/15/2016 12:00:00 AM,
3977502,Economy,complete,7/15/2016 12:00:00 AM,
3677103,Business,complete,7/15/2016 12:00:00 AM,
